RespondentN;StimulusN;TimeStampMS;GazeXPrc;GazeYPrc
0;1;0;0.487;0.504
0;1;0;0.493;0.47
0;1;22;0.496;0.454
0;1;89;0.492;0.439
0;1;122;0.484;0.431
0;1;155;0.478;0.422
0;1;189;0.481;0.411
0;1;222;0.483;0.394
0;1;255;0.483;0.39
0;1;289;0.485;0.388
0;1;355;0.483;0.384
0;1;389;0.482;0.38
0;1;422;0.48;0.377
0;2;0;0.479;0.369
0;2;0;0.476;0.36
0;2;21;0.473;0.352
0;2;54;0.47;0.342
0;2;88;0.467;0.333
0;2;121;0.463;0.325
0;2;155;0.461;0.316
0;2;189;0.459;0.309
0;2;221;0.457;0.302
0;2;254;0.454;0.296
0;2;288;0.451;0.292
0;2;321;0.449;0.287
0;2;354;0.447;0.283
0;2;388;0.446;0.279
0;2;421;0.444;0.278
0;4;0;0.463;0.298
0;4;0;0.463;0.298
0;4;20;0.465;0.3
0;4;53;0.468;0.3
0;4;86;0.471;0.301
0;4;120;0.473;0.303
0;4;153;0.476;0.304
0;4;186;0.478;0.304
0;4;220;0.478;0.303
0;4;253;0.48;0.302
0;4;287;0.48;0.303
0;4;320;0.527;0.673
0;4;353;0.535;0.922
0;4;386;0.535;0.95
0;4;420;0.52;0.927
0;5;0;0.392;0.774
0;5;0;0.429;0.74
0;5;19;0.441;0.715
0;5;53;0.445;0.7
0;5;86;0.448;0.692
0;5;121;0.451;0.68
0;5;187;0.453;0.67
0;5;220;0.46;0.65
0;5;253;0.461;0.642
0;5;286;0.462;0.634
0;7;0;0.466;0.36
0;7;0;0.466;0.349
0;7;32;0.466;0.343
0;7;64;0.466;0.34
0;7;98;0.465;0.338
0;7;131;0.464;0.334
0;7;164;0.464;0.331
0;7;197;0.463;0.326
0;7;231;0.465;0.322
0;7;262;0.465;0.318
0;7;299;0.466;0.315
0;7;329;0.467;0.305
0;7;362;0.466;0.3
0;7;395;0.466;0.295
0;8;0;0.467;0.284
0;8;28;0.467;0.28
0;8;63;0.469;0.278
0;8;96;0.47;0.277
0;8;130;0.471;0.275
0;8;196;0.481;0.31
0;8;230;0.482;0.319
0;8;262;0.48;0.326
